Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Myanmar,NA,37.60,34.80,32.40,30.20,27.80,24.50,20.50,17.10,12.90,10.20,7.80,7.10,6.10,5.10,4.20,3.50,3.00,2.60,2.50,3.10,NA,NA
Montenegro,NA,9.60,9.20,8.40,7.70,5.50,3.10,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
Mongolia,NA,31.10,30.60,30.80,30.70,29.60,27.40,25.20,22.30,19.60,16.50,14.10,12.50,11.40,10.10,8.40,7.40,6.30,5.50,4.00,3.60,NA,NA
Northern Mariana Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mozambique,NA,36.50,35.20,34.10,34.10,33.30,32.40,29.90,28.60,25.80,24.10,21.80,21.00,22.40,25.70,29.70,31.50,31.40,31.00,31.80,32.70,NA,NA
Mauritania,NA,8.30,7.90,8.30,8.50,9.40,8.80,8.10,7.30,7.80,8.20,8.30,7.90,7.90,8.00,8.30,8.50,8.50,8.60,9.20,10.10,NA,NA
Mauritius,NA,5.70,5.60,5.40,5.20,5.10,5.00,5.20,5.00,4.70,4.30,4.50,4.90,5.20,5.30,5.60,5.80,6.00,6.00,7.20,7.80,NA,NA
Malawi,NA,23.60,23.80,24.60,24.00,22.50,20.80,19.30,19.00,17.10,15.50,13.70,14.00,14.80,15.40,16.00,16.10,16.60,16.80,17.60,17.80,NA,NA
Malaysia,NA,2.50,2.80,2.90,3.10,3.20,3.40,3.60,3.60,3.70,3.40,3.30,3.30,3.50,3.60,3.80,3.50,3.20,2.70,2.60,2.50,NA,NA
Namibia,NA,13.50,14.50,15.70,16.60,18.20,20.10,23.50,27.60,29.50,28.80,25.50,23.50,22.20,21.50,21.00,20.20,19.90,20.00,18.90,18.00,NA,NA
New Caledonia,NA,8.40,8.70,9.10,9.50,9.60,9.50,9.40,9.10,8.20,7.30,6.60,6.60,6.40,6.20,6.20,6.50,6.70,6.80,6.80,6.80,NA,NA
Niger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nigeria,NA,8.90,8.90,8.60,7.90,7.10,6.70,6.60,6.80,7.50,8.20,8.80,9.10,9.10,9.20,9.20,9.40,10.00,10.40,12.00,12.70,NA,NA
Nicaragua,NA,27.50,25.20,25.00,24.00,23.30,22.20,21.60,21.20,20.80,20.00,19.20,19.00,19.30,19.70,19.00,18.00,17.20,17.40,17.50,18.60,NA,NA
Netherlands,NA,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
